#,datetime_BKK,direction,type,qty,balance,refType,note
176,15/06/2569 23:29:00,OUT,ADJUST,-1,3,ITEM_QTY,
177,15/06/2569 23:29:04,OUT,ADJUST,-1,2,ITEM_QTY,
178,15/06/2569 23:29:08,OUT,ADJUST,-1,1,ITEM_QTY,
179,15/06/2569 23:29:10,OUT,ADJUST,-1,0,ITEM_QTY,
180,16/06/2569 00:01:52,IN,ADJUST,48,48,MANUAL,
181,16/06/2569 00:28:14,IN,ADJUST,15,63,ITEM_QTY,
182,16/06/2569 00:28:15,IN,ADJUST,14,77,ITEM_QTY,
183,16/06/2569 00:28:17,OUT,ADJUST,-1,76,ITEM_QTY,
184,16/06/2569 00:28:18,OUT,ADJUST,-1,75,ITEM_QTY,
185,16/06/2569 00:28:19,OUT,ADJUST,-1,74,ITEM_QTY,
186,16/06/2569 00:28:23,OUT,ADJUST,-1,73,ITEM_QTY,
187,16/06/2569 00:28:24,OUT,ADJUST,-2,71,ITEM_QTY,
188,16/06/2569 00:28:25,OUT,ADJUST,-2,69,ITEM_QTY,
189,16/06/2569 00:28:27,OUT,ADJUST,-1,68,ITEM_QTY,
190,16/06/2569 00:28:28,OUT,ADJUST,-1,67,ITEM_QTY,
191,16/06/2569 00:28:30,OUT,ADJUST,-1,66,ITEM_QTY,
192,16/06/2569 00:28:32,OUT,ADJUST,-1,65,ITEM_QTY,
193,16/06/2569 00:28:34,OUT,ADJUST,-1,64,ITEM_QTY,
194,16/06/2569 00:28:38,OUT,ADJUST,-1,63,ITEM_QTY,
195,16/06/2569 00:28:39,OUT,ADJUST,-1,62,ITEM_QTY,
196,16/06/2569 00:28:42,OUT,ADJUST,-1,61,ITEM_QTY,
197,16/06/2569 00:28:46,OUT,ADJUST,-1,60,ITEM_QTY,
198,16/06/2569 00:28:47,OUT,ADJUST,-1,59,ITEM_QTY,
199,16/06/2569 00:28:50,OUT,ADJUST,-1,58,ITEM_QTY,
200,16/06/2569 00:28:51,OUT,ADJUST,-1,57,ITEM_QTY,
201,16/06/2569 00:28:53,OUT,ADJUST,-1,56,ITEM_QTY,
202,16/06/2569 00:28:57,OUT,ADJUST,-1,55,ITEM_QTY,
203,16/06/2569 00:29:00,OUT,ADJUST,-1,54,ITEM_QTY,
204,16/06/2569 00:29:03,OUT,ADJUST,-1,53,ITEM_QTY,
205,16/06/2569 00:29:05,OUT,ADJUST,-1,52,ITEM_QTY,
206,16/06/2569 00:29:08,OUT,ADJUST,-1,51,ITEM_QTY,
207,16/06/2569 00:29:10,OUT,ADJUST,-1,50,ITEM_QTY,
208,16/06/2569 00:29:12,OUT,ADJUST,-1,49,ITEM_QTY,
209,16/06/2569 00:29:14,OUT,ADJUST,-1,48,ITEM_QTY,
210,16/06/2569 00:29:17,OUT,ADJUST,-1,47,ITEM_QTY,
211,16/06/2569 00:29:20,OUT,ADJUST,-1,46,ITEM_QTY,
212,16/06/2569 00:29:22,OUT,ADJUST,-1,45,ITEM_QTY,
213,16/06/2569 00:29:26,OUT,ADJUST,-1,44,ITEM_QTY,
214,16/06/2569 00:29:29,OUT,ADJUST,-1,43,ITEM_QTY,
215,16/06/2569 00:29:31,OUT,ADJUST,-1,42,ITEM_QTY,
216,16/06/2569 00:29:33,OUT,ADJUST,-1,41,ITEM_QTY,
217,16/06/2569 00:29:37,OUT,ADJUST,-1,40,ITEM_QTY,
218,16/06/2569 00:29:40,OUT,ADJUST,-1,39,ITEM_QTY,
219,16/06/2569 00:29:44,OUT,ADJUST,-1,38,ITEM_QTY,
220,16/06/2569 00:31:05,OUT,ADJUST,-1,37,ITEM_QTY,
221,16/06/2569 00:31:08,OUT,ADJUST,-1,36,ITEM_QTY,
222,16/06/2569 00:31:10,OUT,ADJUST,-1,35,ITEM_QTY,
223,16/06/2569 00:31:13,OUT,ADJUST,-1,34,ITEM_QTY,
224,16/06/2569 00:31:15,OUT,ADJUST,-1,33,ITEM_QTY,
225,16/06/2569 00:31:17,OUT,ADJUST,-1,32,ITEM_QTY,
226,16/06/2569 00:31:20,OUT,ADJUST,-1,31,ITEM_QTY,
227,16/06/2569 00:31:22,OUT,ADJUST,-1,30,ITEM_QTY,
228,16/06/2569 00:31:25,OUT,ADJUST,-1,29,ITEM_QTY,
229,16/06/2569 00:31:27,OUT,ADJUST,-1,28,ITEM_QTY,
230,16/06/2569 00:31:30,OUT,ADJUST,-1,27,ITEM_QTY,
231,16/06/2569 00:31:33,OUT,ADJUST,-1,26,ITEM_QTY,
232,16/06/2569 00:31:36,OUT,ADJUST,-1,25,ITEM_QTY,
233,16/06/2569 00:31:38,OUT,ADJUST,-1,24,ITEM_QTY,
234,16/06/2569 00:31:41,OUT,ADJUST,-1,23,ITEM_QTY,
235,16/06/2569 00:31:43,OUT,ADJUST,-1,22,ITEM_QTY,
236,16/06/2569 00:31:45,OUT,ADJUST,-1,21,ITEM_QTY,
237,16/06/2569 00:31:48,OUT,ADJUST,-1,20,ITEM_QTY,
238,16/06/2569 00:31:50,OUT,ADJUST,-1,19,ITEM_QTY,
239,16/06/2569 00:31:54,OUT,ADJUST,-1,18,ITEM_QTY,
240,16/06/2569 00:38:32,IN,ADJUST,54,72,ITEM_QTY,
241,16/06/2569 00:38:34,OUT,ADJUST,-1,71,ITEM_QTY,
242,16/06/2569 00:38:35,OUT,ADJUST,-1,70,ITEM_QTY,
243,16/06/2569 00:38:37,OUT,ADJUST,-1,69,ITEM_QTY,
244,16/06/2569 00:38:41,OUT,ADJUST,-1,68,ITEM_QTY,
245,16/06/2569 00:38:45,OUT,ADJUST,-1,67,ITEM_QTY,
246,16/06/2569 00:38:48,OUT,ADJUST,-1,66,ITEM_QTY,
247,16/06/2569 00:38:51,OUT,ADJUST,-1,65,ITEM_QTY,
248,16/06/2569 00:38:53,OUT,ADJUST,-1,64,ITEM_QTY,
249,16/06/2569 00:38:57,OUT,ADJUST,-1,63,ITEM_QTY,
250,16/06/2569 00:39:00,OUT,ADJUST,-1,62,ITEM_QTY,
251,16/06/2569 00:39:03,OUT,ADJUST,-1,61,ITEM_QTY,
252,16/06/2569 00:39:05,OUT,ADJUST,-1,60,ITEM_QTY,
253,16/06/2569 00:39:08,OUT,ADJUST,-1,59,ITEM_QTY,
254,16/06/2569 00:39:11,OUT,ADJUST,-1,58,ITEM_QTY,
255,16/06/2569 00:39:12,OUT,ADJUST,-1,57,ITEM_QTY,
256,16/06/2569 00:39:15,OUT,ADJUST,-1,56,ITEM_QTY,
257,16/06/2569 00:39:17,OUT,ADJUST,-1,55,ITEM_QTY,
258,16/06/2569 00:39:20,OUT,ADJUST,-1,54,ITEM_QTY,
259,16/06/2569 00:39:24,OUT,ADJUST,-1,53,ITEM_QTY,
260,16/06/2569 00:39:27,OUT,ADJUST,-1,52,ITEM_QTY,
261,16/06/2569 00:39:30,OUT,ADJUST,-1,51,ITEM_QTY,
262,16/06/2569 00:39:32,OUT,ADJUST,-1,50,ITEM_QTY,
263,16/06/2569 00:39:36,OUT,ADJUST,-1,49,ITEM_QTY,
264,16/06/2569 00:39:38,OUT,ADJUST,-1,48,ITEM_QTY,
265,16/06/2569 00:39:41,OUT,ADJUST,-1,47,ITEM_QTY,
266,16/06/2569 00:39:45,OUT,ADJUST,-1,46,ITEM_QTY,
267,16/06/2569 00:39:48,OUT,ADJUST,-1,45,ITEM_QTY,
268,16/06/2569 00:39:51,OUT,ADJUST,-1,44,ITEM_QTY,
269,16/06/2569 00:39:54,OUT,ADJUST,-1,43,ITEM_QTY,
270,16/06/2569 00:39:56,OUT,ADJUST,-1,42,ITEM_QTY,
271,16/06/2569 00:39:59,OUT,ADJUST,-1,41,ITEM_QTY,
272,16/06/2569 00:40:02,OUT,ADJUST,-1,40,ITEM_QTY,
273,16/06/2569 00:40:04,OUT,ADJUST,-1,39,ITEM_QTY,
274,16/06/2569 00:40:07,OUT,ADJUST,-1,38,ITEM_QTY,
275,16/06/2569 00:40:10,OUT,ADJUST,-1,37,ITEM_QTY,
276,16/06/2569 00:40:13,OUT,ADJUST,-1,36,ITEM_QTY,
277,16/06/2569 00:40:17,OUT,ADJUST,-1,35,ITEM_QTY,
278,16/06/2569 00:40:19,OUT,ADJUST,-1,34,ITEM_QTY,
279,16/06/2569 00:40:22,OUT,ADJUST,-1,33,ITEM_QTY,
280,16/06/2569 00:40:24,OUT,ADJUST,-1,32,ITEM_QTY,
281,16/06/2569 00:40:27,OUT,ADJUST,-1,31,ITEM_QTY,
282,16/06/2569 00:40:30,OUT,ADJUST,-1,30,ITEM_QTY,
283,16/06/2569 00:40:32,OUT,ADJUST,-1,29,ITEM_QTY,
284,16/06/2569 00:40:35,OUT,ADJUST,-1,28,ITEM_QTY,
285,16/06/2569 00:40:37,OUT,ADJUST,-1,27,ITEM_QTY,
286,16/06/2569 00:40:42,OUT,ADJUST,-1,26,ITEM_QTY,
287,16/06/2569 00:40:45,OUT,ADJUST,-1,25,ITEM_QTY,
288,16/06/2569 00:40:47,OUT,ADJUST,-1,24,ITEM_QTY,
289,16/06/2569 00:40:51,OUT,ADJUST,-1,23,ITEM_QTY,
290,16/06/2569 00:40:53,OUT,ADJUST,-1,22,ITEM_QTY,
291,16/06/2569 00:40:55,OUT,ADJUST,-1,21,ITEM_QTY,
292,16/06/2569 00:40:58,OUT,ADJUST,-1,20,ITEM_QTY,
293,16/06/2569 00:41:01,OUT,ADJUST,-1,19,ITEM_QTY,
294,16/06/2569 00:41:06,OUT,ADJUST,-1,18,ITEM_QTY,
295,16/06/2569 00:41:08,OUT,ADJUST,-1,17,ITEM_QTY,
296,16/06/2569 00:41:10,OUT,ADJUST,-1,16,ITEM_QTY,
